City,Country,Latitude,Longitude,Year,Value,Date,Time,Min,TimeNew,VAL_0
Cairo,Egypt,30.06263,31.24967,1970,6600000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.286952646
London,United Kingdom,51.511214,-0.119825,1900,6480000,/01/01,01/01/1900, 00:00:00,01/01/1900 00:00,0.281735227
Paris,France,48.856614,2.352222,1950,5900000,/01/01,01/01/1950, 00:00:00,01/01/1950 00:00,0.256517698
Seoul,Republic of Korea,37.56826,126.97783,1970,5900000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.256517698
Ruhr,Germany,51.407415,6.862626,1975,5500000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.2391263
Ruhr,Germany,51.407415,6.862626,1970,5450000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.236952375
Shanghai,China,31.22222,121.45806,1950,5406000,/01/01,01/01/1950, 00:00:00,01/01/1950 00:00,0.235039321
Manila,Philippines,14.58,121,1975,5400000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.23477845
Tokyo,Japan,35.6895,139.69171,1925,5300000,/01/01,01/01/1925, 00:00:00,01/01/1925 00:00,0.2304306
Jakarta,Indonesia,-6.21462,106.84513,1975,5300000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.2304306
Philadelphia,United States of America,39.95,-75.1667,1970,5279000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.229517552
Beijing,China,39.9075,116.39723,1975,5200000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.22608275
Philadelphia,United States of America,39.95,-75.1667,1975,5200000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.22608275
Moscow,Russian Federation,55.75222,37.61556,1950,5100000,/01/01,01/01/1950, 00:00:00,01/01/1950 00:00,0.221734901
Buenos Aires,Argentina,-34.61315,-58.37723,1950,5000000,/01/01,01/01/1950, 00:00:00,01/01/1950 00:00,0.217387051
Chicago,United States of America,41.85003,-87.65005,1950,4906000,/01/01,01/01/1950, 00:00:00,01/01/1950 00:00,0.213300072
Ruhr,Germany,51.407415,6.862626,1950,4900000,/01/01,01/01/1950, 00:00:00,01/01/1950 00:00,0.213039201
Paris,France,48.856614,2.352222,1925,4800000,/01/01,01/01/1925, 00:00:00,01/01/1925 00:00,0.208691352
Calcutta,India,22.56263,88.36304,1950,4800000,/01/01,01/01/1950, 00:00:00,01/01/1950 00:00,0.208691352
Beijing,China,39.9075,116.39723,1970,4800000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.208691352
Detroit,United States of America,42.33143,-83.04575,1975,4800000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.208691352
Detroit,United States of America,42.33143,-83.04575,1970,4720000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.205213072
Tianjin,China,39.14222,117.17667,1975,4600000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.199995652
Delhi,India,28.65381,77.22897,1975,4400000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.191299953
Karachi,Pakistan,24.9056,67.0822,1975,4400000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.191299953
San Francisco,United States of America,37.77493,-122.419416,1975,4400000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.191299953
Manila,Philippines,14.58,121,1970,4350000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.189126028
Saint Petersburg,Russian Federation,59.89444,30.26417,1970,4350000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.189126028
Delhi,India,28.65381,77.22897,1970,4300000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.186952103
Jakarta,Indonesia,-6.21462,106.84513,1970,4300000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.186952103
Bangkok,Thailand,13.75398,100.50144,1975,4300000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.186952103
San Francisco,United States of America,37.77493,-122.419416,1970,4278000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.185995576
New York,United States of America,40.714353,-74.005972,1900,4242000,/01/01,01/01/1900, 00:00:00,01/01/1900 00:00,0.18443035
London,United Kingdom,51.511214,-0.119825,1875,4241000,/01/01,1875/01/01, 00:00:00,1875/01/01 00:00:00,0.184386872
Saint Petersburg,Russian Federation,59.89444,30.26417,1975,4200000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.182604253
Tehran,Iran,35.69439,51.42151,1975,4200000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.182604253
Madrid,Spain,40.416775,-3.703789,1975,4100000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.178256404
Berlin,Germany,52.52437,13.41053,1925,4013000,/01/01,01/01/1925, 00:00:00,01/01/1925 00:00,0.174473774
Paris,France,48.856614,2.352222,1914,4000000,/01/01,01/01/1914, 00:00:00,01/01/1914 00:00,0.173908554
Los Angeles,United States of America,34.052234,-118.243685,1950,3986000,/01/01,01/01/1950, 00:00:00,01/01/1950 00:00,0.173299855
Hong Kong,China,22.28552,114.15769,1975,3900000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.169560704
Tianjin,China,39.14222,117.17667,1970,3800000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.165212854
Boston,United States of America,42.358431,-71.059772,1975,3800000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.165212854
Milan,Italy,45.465453,9.198786,1975,3800000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.165212854
Boston,United States of America,42.358431,-71.059772,1970,3762000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.163560672
Berlin,Germany,52.52437,13.41053,1950,3707000,/01/01,01/01/1950, 00:00:00,01/01/1950 00:00,0.161169354
Madras,India,13.08784,80.27847,1975,3600000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.156517155
Rome,Italy,41.89474,12.4839,1975,3600000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.156517155
Chicago,United States of America,41.85003,-87.65005,1925,3564000,/01/01,01/01/1925, 00:00:00,01/01/1925 00:00,0.154951929
Milan,Italy,45.465453,9.198786,1970,3560000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.154778015
Berlin,Germany,52.52437,13.41053,1914,3500000,/01/01,01/01/1914, 00:00:00,01/01/1914 00:00,0.152169305
Tokyo,Japan,35.6895,139.69171,1914,3500000,/01/01,01/01/1914, 00:00:00,01/01/1914 00:00,0.152169305
Hong Kong,China,22.28552,114.15769,1970,3500000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.152169305
Barcelona,Spain,41.38879,2.15899,1975,3500000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.152169305
Ho Chi Minh,Vietnam,10.823099,106.628767,1975,3500000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.152169305
Lima,Peru,-12.04318,-77.02824,1975,3500000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.152169305
Yangon,Myanmar,16.80528,96.15611,1975,3500000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.152169305
Osaka,Japan,34.693216,135.502082,1950,3480000,/01/01,01/01/1950, 00:00:00,01/01/1950 00:00,0.151299735
Ruhr,Germany,51.407415,6.862626,1925,3400000,/01/01,01/01/1925, 00:00:00,01/01/1925 00:00,0.147821456
Madrid,Spain,40.416775,-3.703789,1970,3400000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.147821456
Paris,France,48.856614,2.352222,1900,3330000,/01/01,01/01/1900, 00:00:00,01/01/1900 00:00,0.144777961
Tehran,Iran,35.69439,51.42151,1970,3325000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.144560568
Athens,Greece,37.97945,23.71622,1975,3300000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.143473606
Karachi,Pakistan,24.9056,67.0822,1970,3200000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.139125756
Istanbul,Turkey,41.005275,28.976944,1975,3200000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.139125756
Nagoya,Japan,35.181447,136.906397,1975,3200000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.139125756
Santiago,Chile,-33.45,-70.666667,1975,3200000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.139125756
Bangkok,Thailand,13.75398,100.50144,1970,3125000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.135864869
Shenyang,China,41.79222,123.43278,1975,3100000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.134777906
Washington D.C.,United States of America,38.914144,-77.0234,1975,3100000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.134777906
Madras,India,13.08784,80.27847,1970,3050000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.132603982
Bogota,Columbia,4.598056,-74.075833,1975,3000000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.130430057
Guangzhou,China,23.11667,113.25,1975,3000000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.130430057
Johannesburg,South Africa,-26.20227,28.04363,1975,3000000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.130430057
Barcelona,Spain,41.38879,2.15899,1970,2975000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.129343094
Nagoya,Japan,35.181447,136.906397,1970,2975000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.129343094
Rome,Italy,41.89474,12.4839,1970,2960000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.128690917
Washington D.C.,United States of America,38.914144,-77.0234,1970,2957000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.128560481
Philadelphia,United States of America,39.95,-75.1667,1950,2900000,/01/01,01/01/1950, 00:00:00,01/01/1950 00:00,0.126082207
Lima,Peru,-12.04318,-77.02824,1970,2900000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.126082207
Santiago,Chile,-33.45,-70.666667,1970,2900000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.126082207
Baghdad,Iraq,33.34058,44.40088,1975,2900000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.126082207
Sydney,Australia,-33.86785,151.20732,1975,2900000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.126082207
Wuhan,China,30.58333,114.26667,1975,2900000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.126082207
Mexico City,Mexico,19.42847,-99.12766,1950,2872000,/01/01,01/01/1950, 00:00:00,01/01/1950 00:00,0.124864809
Rio de Janeiro,Brazil,-22.90278,-43.2075,1950,2866000,/01/01,01/01/1950, 00:00:00,01/01/1950 00:00,0.124603938
Manchester,United Kingdom,53.48095,-2.23743,1970,2850000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.123908282
Istanbul,Turkey,41.005275,28.976944,1970,2825000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.12282132
Alexandria,Egypt,31.200092,29.918739,1975,2800000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.121734357
Montreal,Canada,45.50884,-73.58781,1975,2800000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.121734357
Sydney,Australia,-33.86785,151.20732,1970,2780000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.120864787
Detroit,United States of America,42.33143,-83.04575,1950,2776000,/01/01,01/01/1950, 00:00:00,01/01/1950 00:00,0.120690873
Cairo,Egypt,30.06263,31.24967,1950,2750000,/01/01,01/01/1950, 00:00:00,01/01/1950 00:00,0.119560432
Harbin,China,45.75,126.65,1970,2750000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.119560432
Berlin,Germany,52.52437,13.41053,1900,2707000,/01/01,01/01/1900, 00:00:00,01/01/1900 00:00,0.117690857
Birmingham,United States of America,33.520661,-86.80249,1970,2705000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.1176039
Saint Petersburg,Russian Federation,59.89444,30.26417,1950,2700000,/01/01,01/01/1950, 00:00:00,01/01/1950 00:00,0.117386508
Birmingham,United Kingdom,52.48142,-1.89983,1975,2700000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.117386508
Manchester,United Kingdom,53.48095,-2.23743,1975,2700000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.117386508
Toronto,Canada,43.70011,-79.4163,1975,2700000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.117386508
Mumbai,India,19.07283,72.88261,1950,2680000,/01/01,01/01/1950, 00:00:00,01/01/1950 00:00,0.116516938
Montreal,Canada,45.50884,-73.58781,1970,2660000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.115647368
Chongqing,China,29.56301,106.551557,1975,2600000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.113038658
Melbourne,Australia,-37.814,144.96332,1975,2600000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.113038658
Wuhan,China,30.58333,114.26667,1970,2560000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.111299518
Ho Chi Minh,Vietnam,10.823099,106.628767,1970,2550000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.110864733
Johannesburg,South Africa,-26.20227,28.04363,1970,2550000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.110864733
Toronto,Canada,43.70011,-79.4163,1970,2495000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.108473416
Taipei,Taiwan,25.04776,121.53185,1970,2490000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.108256023
Athens,Greece,37.97945,23.71622,1970,2450000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.106516883
Chicago,United States of America,41.85003,-87.65005,1914,2420000,/01/01,01/01/1914, 00:00:00,01/01/1914 00:00,0.105212528
Buenos Aires,Argentina,-34.61315,-58.37723,1925,2410000,/01/01,01/01/1925, 00:00:00,01/01/1925 00:00,0.104777743
Melbourne,Australia,-37.814,144.96332,1970,2400000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.104342958
Busan,Republic of Korea,35.179554,129.075642,1975,2400000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.104342958
Caracas,Venezuela,10.48801,-66.87919,1975,2400000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.104342958
Dallas,United States of America,32.78014,-96.800451,1975,2400000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.104342958
Lahore,Pakistan,31.54972,74.34361,1975,2400000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.104342958
Manchester,United Kingdom,53.48095,-2.23743,1950,2382000,/01/01,01/01/1950, 00:00:00,01/01/1950 00:00,0.103560345
London,United Kingdom,51.511214,-0.119825,1851,2362236,/01/01,1851/01/01, 00:00:00,1851/01/01 00:00:00,0.102701036
Cleveland,United States of America,41.499495,-81.695409,1970,2361000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.102647297
Bogota,Columbia,4.598056,-74.075833,1970,2350000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.102169034
Caracas,Venezuela,10.48801,-66.87919,1970,2335000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.101516856
Hamburg,Germany,53.57532,10.01534,1970,2335000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.101516856
Budapest,Hungary,47.49801,19.03991,1970,2325000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.101082071
London,United Kingdom,51.511214,-0.119825,1850,2320000,/01/01,1850/01/01, 00:00:00,1850/01/01 00:00:00,0.100864679
Chongqing,China,29.56301,106.551557,1970,2300000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.099995109
Cleveland,United States of America,41.499495,-81.695409,1975,2300000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.099995109
Miami,United States of America,25.77427,-80.19366,1975,2300000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.099995109
St. Louis,United States of America,38.626978,-90.199403,1970,2299000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.09995163
Paris,France,48.856614,2.352222,1875,2250000,/01/01,1875/01/01, 00:00:00,1875/01/01 00:00:00,0.097821184
Alexandria,Egypt,31.200092,29.918739,1970,2250000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.097821184
Yangon,Myanmar,16.80528,96.15611,1970,2250000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.097821184
Boston,United States of America,42.358431,-71.059772,1950,2233000,/01/01,01/01/1950, 00:00:00,01/01/1950 00:00,0.097082049
Sao Paolo,Brazil,-23.5475,-46.63611,1950,2227000,/01/01,01/01/1950, 00:00:00,01/01/1950 00:00,0.096821178
Singapore,Singapore,1.28967,103.85007,1970,2225000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.096734221
Algiers,Algiers,36.7525,3.04197,1925,2220000,/01/01,01/01/1925, 00:00:00,01/01/1925 00:00,0.096516829
Osaka,Japan,34.693216,135.502082,1925,2219000,/01/01,01/01/1925, 00:00:00,01/01/1925 00:00,0.09647335
Hamburg,Germany,53.57532,10.01534,1975,2200000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.095647259
Katowice,Poland,50.25842,19.02754,1975,2200000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.095647259
Kinshasa,DR Congo,-4.325,15.3222,1975,2200000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.095647259
Singapore,Singapore,1.28967,103.85007,1975,2200000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.095647259
St. Louis,United States of America,38.626978,-90.199403,1975,2200000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.095647259
Birmingham,United Kingdom,52.48142,-1.89983,1950,2196000,/01/01,01/01/1950, 00:00:00,01/01/1950 00:00,0.095473345
Baghdad,Iraq,33.34058,44.40088,1970,2138000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.092951592
Hong Kong,China,22.28552,114.15769,1950,2100000,/01/01,01/01/1950, 00:00:00,01/01/1950 00:00,0.091299409
Brussel,Belgium,50.85045,4.34878,1975,2100000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.091299409
Houston,United States of America,29.760193,-95.36939,1975,2100000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.091299409
Recife,Brazil,-8.05389,-34.88111,1975,2100000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.091299409
Philadelphia,United States of America,39.95,-75.1667,1925,2085000,/01/01,01/01/1925, 00:00:00,01/01/1925 00:00,0.090647232
Katowice,Poland,50.25842,19.02754,1970,2065000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.089777662
Pittsburgh,United States of America,40.44062,-79.99589,1970,2045000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.088908092
Beijing,China,39.9075,116.39723,1950,2031000,/01/01,01/01/1950, 00:00:00,01/01/1950 00:00,0.088299393
Shenyang,China,41.79222,123.43278,1970,2000000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.08695156
Taiyuan,China,37.87059,112.548879,1970,2000000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.08695156
Ahmedabad,India,23.039568,72.566004,1975,2000000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.08695156
Bangalore,India,12.97194,77.59369,1975,2000000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.08695156
Belo Horizonte,Brazil,-19.92083,-43.93778,1975,2000000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.08695156
Budapest,Hungary,47.49801,19.03991,1975,2000000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.08695156
Lanzhou,China,36.061089,103.834304,1975,2000000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.08695156
Leeds,United Kingdom,53.79648,-1.54785,1975,2000000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.08695156
Nanjing,China,32.05,118.766667,1975,2000000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.08695156
Pittsburgh,United States of America,40.44062,-79.99589,1975,2000000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.08695156
Taipei,Taiwan,25.04776,121.53185,1975,2000000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.08695156
Brussel,Belgium,50.85045,4.34878,1970,1990000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.086516775
Vienna,Austria,48.20849,16.37208,1970,1968000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.085560248
London,United Kingdom,51.511214,-0.119825,1841,1948417,/01/01,1841/01/01, 00:00:00,1841/01/01 00:00:00,0.084708808
San Francisco,United States of America,37.77493,-122.419416,1950,1937000,/01/01,01/01/1950, 00:00:00,01/01/1950 00:00,0.084212414
Naples,Italy,40.851775,14.268122,1970,1930000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.083908065
New York,United States of America,40.714353,-74.005972,1875,1900000,/01/01,1875/01/01, 00:00:00,1875/01/01 00:00:00,0.08260371
Dhaka,India,23.709921,90.407143,1975,1900000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.08260371
Donetsk,Ukraine,48.015883,37.80285,1975,1900000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.08260371
Glasgow,United Kingdom,55.86515,-4.25763,1975,1900000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.08260371
Havana,Cuba,23.13302,-82.38304,1975,1900000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.08260371
Kiev,Ukraine,50.45466,30.5238,1975,1900000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.08260371
Minneapolis,United States of America,39.12194,-93.265011,1975,1900000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.08260371
Naples,Italy,40.851775,14.268122,1975,1900000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.08260371
Warsaw,Poland,52.22977,21.01178,1975,1900000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.08260371
Vienna,Austria,48.20849,16.37208,1925,1865000,/01/01,01/01/1925, 00:00:00,01/01/1925 00:00,0.081081962
Moscow,Russian Federation,55.75222,37.61556,1914,1805000,/01/01,01/01/1914, 00:00:00,01/01/1914 00:00,0.078473253
